投稿日,タイトル,再生数
2020-07-22,ふくらPなら電話で爆弾解除もできる説,1328316
2020-07-20,【無理じゃね？】漢字一文字連想ゲーム,1718441
2020-07-17,東大生正解率100%クイズ,931674
2020-07-16,第一回「概念」ゆるキャラグランプリ,1290702
2020-07-14,【正解するな】惜しい人だけ得点が入るクイズ,1085248
2020-07-13,東大生の家にあるものだけでしりとりをします,1227469
2020-07-10,【東大検証】全く知らない科目でも満点取れるのか？,1880875
2020-07-10,【いじわる】東大生になぞなぞとクイズ、ゴチャ混ぜで出題してみた,2030871
2020-07-08,リモート朝からそれ正解！東大生ら10人で爆笑回答連発！？【#17】,2714816
2020-07-07,【面接】東大生ならどんな企業でも就活勝てる説,1690379
2020-07-06,リモートでも4人で力を合わせて解答せよ！4分割クイズ！,961225
2020-07-03,【早押し】伊沢がモノマネされてたので逆に本人がやってみます,948556
2020-07-02,【0.1倍速クイズ】超スロー再生でクイズしてみた,780661
2020-06-30,ふくらP瞬殺解答！どんなにハンデがあっても勝ちます。,2302560
2020-06-29,【東大人狼】嘘だらけの10人頭脳バトル！？,1882245
2020-06-26,【検証】東大クイズ王なら自宅も賢い説,2284862
2020-06-25,撮影再開について,344029
2020-06-25,文字数縛りしりとり！東大4人で限界しりとりパーティー！,618780
2020-06-23,【密回避ゲーム】東大生と激ムズしりとりで大混乱！？,979887
2020-06-20,世界一静かなクイズ大会,1759303
2020-06-19,【対策し放題】｢ですが｣から1週間後に出題されるクイズ,3531414
2020-06-17,【検証】クイズ王ならクイズの作者も当てられる説【利きクイズ】,1914197
2020-06-13,【ドッキリ】伊沢vs須貝（こっそり山本と通話中）,3210991
2020-06-12,1問でも間違えた人は画面から消えます。,1191834
2020-06-10,リモート朝からそれ正解！東大生ら10人で爆笑回答連発！？【#16】,2298414
2020-06-09,心理戦が極まり過ぎたwwハッタリだらけのオークションクイズで対決,2135195
2020-06-06,【東大人狼】10人でガチすぎる人狼対決！頭脳戦を制するのは…？,3744317
2020-06-05,【ガチ】相手の考えを先に当てるゲームをしたら奇跡がおきたwww,558461
2020-06-04,分かったのに！筋肉でボタンを押すクイズ ww【キツすぎる】,1402366
2020-06-02,4人でプレイする限界しりとり！しりとりの天才を集めて限界しりとりパーティーやってみた,470221
2020-06-01,【ご報告】撮影再開について。新チャンネルの話も,363064
2020-05-29,爆笑ww東大流ババ抜き！問題と答えでペアを作れ！ハプニング続出頭脳戦,2560036
2020-05-28,【東大流】偏差値って何？マイナス×マイナスは何故プラス？勉強教え対決,1272111
2020-05-26,【気付くのかドッキリ】アハ体験、東大生なら10個同時できる説,872239
2020-05-24,【検証】東大生なら未来予知できるのか？,1769457
2020-05-22,【東大生考案最強授業】鈴木福くんのためだけに授業してみた,640409
2020-05-20,【見ずに解け】パズルの達人なら電話の向こうのパズル解けるのか？,2095656
2020-05-18,【クイズ王検証】小さい文字だけでクイズ出しても解ける説,1747226
2020-05-15,全国の先生へ。QuizKnockの素材を授業でお使いください。,564659
2020-05-14,【早押し】お願いすると問題の続きが聞けるクイズで大波乱www,1821623
2020-05-11,【めちゃ長】問題より答えが長い！極限早押しクイズ,3050603
2020-05-09,東大生vsバカ,1428235
2020-05-07,【読めないとふりだしに戻る】木へんの難読すごろくでガチ対決！,1975762
2020-05-05,【stay home】離れてる人と早押しクイズしたくなったらどうすればいい？【Zoomで早押し】,666750
2020-05-03,｢風が吹けば桶屋が儲かる｣理論でなんでも証明できる説,993638
2020-05-01,【フェイクニュース】東大生が考えたデマ、信じちゃう説,1761460
2020-04-29,ヤバイTシャツ屋さんのこやまさんと限界しりとり対決！,469599
2020-04-26,クイズ王にむちゃくちゃ不利なルールでクイズしてみた,2358105
2020-04-24,【超速】部首を足し算クイズが早すぎる！【ひらめき】,1214158
2020-04-22,東大生が本気出して作ったサムネがこちらwww,1328546
2020-04-20,もしもトム・ブラウンが東大生だったら漢字を合体させるはず【ダメー】,1513423
